cuid,pred_convert_30,pred_revenue_30
16838,0.21583636105060577,18.163797
532175,0.2122972458600998,51.919914
532176,0.6996844410896301,341.5395
532187,0.6074444055557251,590.9002
16938,0.36812135577201843,73.77251
532189,0.48958253860473633,166.5649
16948,0.5069635510444641,161.72914
532197,0.6641980409622192,280.14856
17017,0.21482019126415253,82.77231
17020,0.2936410903930664,20.708042
532205,0.7602967619895935,475.27762
532211,0.19607235491275787,51.30802
17139,0.4168640077114105,25.769722
17267,0.4324589669704437,91.56923
532226,0.2408807873725891,26.733995
17291,0.21595226228237152,85.82862
17308,0.7849090099334717,480.589
532231,0.7566394805908203,339.5319
17378,0.21744267642498016,18.163797
17390,0.697771430015564,280.59036
17431,0.8033130168914795,961.9934
17478,0.6618963479995728,187.7501
17545,0.20821471512317657,66.43634
17572,0.508086085319519,78.32212
17633,0.6002647280693054,184.4354
532266,0.21443986892700195,53.306465
532276,0.23626798391342163,39.807125
532286,0.3522162139415741,132.61493
17882,0.47563445568084717,90.378235
532296,0.5949868559837341,204.93295
17953,0.1745135486125946,14.870007
18007,0.46516650915145874,90.378235
532314,0.523237943649292,131.52791
532315,0.38039225339889526,74.04227
532317,0.3425099551677704,136.15868
18118,0.3007572591304779,28.313963
18142,0.5158233046531677,143.90468
18175,0.18008503317832947,14.870007
18178,0.2602822184562683,20.708042
18290,0.30138099193573,82.77231
18337,0.1911245584487915,22.206177
18366,0.5513903498649597,107.45168
18434,0.24310143291950226,46.383762
18469,0.24434009194374084,20.708042
18499,0.24092905223369598,20.708042
18594,0.5570855736732483,186.30318
18617,0.6137031316757202,862.85254
18621,0.057139091193675995,28.044212
18633,0.2915128171443939,40.70811
532381,0.5974122881889343,299.95868
18781,0.14142510294914246,20.708042
18948,0.35949447751045227,35.650135
18958,0.31999948620796204,91.29947
18963,0.20318007469177246,20.708042
18989,0.7367941737174988,139.94746
19036,0.2924157679080963,20.708042
532420,0.6266987323760986,255.48721
19117,0.692779541015625,254.92126
532425,0.3530215620994568,51.30802
19162,0.33394527435302734,32.7532
532432,0.06936629861593246,22.206177
19214,0.8119338154792786,443.6043
19313,0.4039921760559082,29.50496
19361,0.048657529056072235,22.206177
19384,0.5705775022506714,131.60664
19472,0.06078485772013664,20.708042
93194,0.34824761748313904,40.35912
93210,0.49146583676338196,90.378235
93214,0.22638213634490967,20.708042
532467,0.17851242423057556,43.971848
93283,0.046774767339229584,22.206177
532480,0.48116371035575867,144.60352
93402,0.11472741514444351,14.870007
93465,0.8618837594985962,1617.3911
93601,0.185614213347435,14.870007
532514,0.17916962504386902,14.870007
93741,0.16940468549728394,20.708042
93781,0.384219229221344,82.77231
93822,0.2537337839603424,20.708042
93842,0.1855575442314148,52.52894
93846,0.2771024703979492,82.77231
93904,0.3542536199092865,38.588634
93908,0.21361935138702393,18.163797
532543,0.4044609069824219,110.843956
93920,0.14260977506637573,14.870007
94198,0.22643253207206726,30.04266
532577,0.6151866912841797,114.833046
94209,0.17953984439373016,20.708042
532579,0.14038969576358795,20.708042
94227,0.2621415853500366,25.333248
94282,0.18937455117702484,20.708042
94289,0.12885379791259766,20.708042
94309,0.1796577423810959,20.708042
532591,0.479382187128067,46.21879
94374,0.3414817750453949,18.163797
94483,0.17872542142868042,35.213665
94530,0.609635591506958,104.99875
532613,0.5536481142044067,151.10077
532619,0.6778342127799988,321.22678
94711,0.29401111602783203,119.72085
94781,0.09849764406681061,14.870007
94816,0.4366097152233124,64.843834
94832,0.4080292582511902,29.50496
94859,0.3550907075405121,37.212112
94867,0.3730630576610565,66.92252
94913,0.03817690908908844,49.350193
532646,0.12810193002223969,14.870007
94918,0.2883101999759674,18.163797
94962,0.5782879590988159,97.7144
532676,0.6003247499465942,217.07782
95309,0.15604649484157562,14.870007
95320,0.20114073157310486,14.870007
95391,0.4708104133605957,78.492455
95434,0.36112701892852783,78.51026
95451,0.2763010561466217,20.708042
532711,0.3674453794956207,35.530926
95511,0.04968461021780968,14.870007
532714,0.735430896282196,334.86856
95526,0.058043479919433594,14.870007
95678,0.19377142190933228,20.708042
95781,0.47272706031799316,18.163797
169530,0.7341695427894592,265.13446
169632,0.2936220169067383,20.708042
169637,0.055989764630794525,14.870007
532756,0.32237687706947327,40.22547
169793,0.1194349154829979,20.708042
169852,0.13862459361553192,14.870007
169995,0.2958813011646271,85.6619
170593,0.3841274082660675,76.17699
170768,0.20722870528697968,14.870007
170790,0.20582647621631622,20.708042
170813,0.14544175565242767,20.708042
170823,0.06762813776731491,14.870007
170826,0.4213448166847229,36.29534
170841,0.11447552591562271,18.163797
170880,0.09637193381786346,22.206177
170901,0.13510167598724365,20.708042
170917,0.12263259291648865,20.708042
170919,0.436959832906723,82.806915
